group_id	path_symbol	rules	rule_raw_counts	directive_count	score	priority	target_slice	lifetime	protected_invariant	real_proof	rejected_alternative	approval	freeze_status
RUFF-SUP-016	backstitch/analysis_results.py::_validate_current_analysis_row	C901	C901=1	1	29	P3	T9 P3 proof closure	permanent	One current-row boundary owns schema, kind and identity coupling, hashes, classification, evidence coordinates and order, and role completeness.	Current suppression, invariant, role-set, vocabulary, malformed field, confidence, and evidence tests in tests/test_analysis_results.py.	Generic schema machinery or reordered checks would weaken audited first-error behavior.	pending owner	proposed
RUFF-SUP-017	backstitch/analysis_results.py::validate_analysis_row	C901	C901=1	1	31	P3	T9 P3 proof closure	permanent	One compatibility owner distinguishes current, partial-current, and legacy result rows and enforces packet-local evidence.	Legacy and partial union, suppression reinterpretation, kind mismatch, packet evidence, malformed JSON, and classification tests.	Independent legacy dispatch could reinterpret partial current rows.	pending owner	proposed
RUFF-SUP-018	backstitch/artifact_contracts.py::_invariant_packet_shape_error	C901	C901=1	1	18	P3	T9 P3 proof closure	permanent	One invariant-packet boundary owns identity, content hash, locator, snippets, and issue shape.	Legacy invariant acceptance, malformed invariant, discriminator leakage, and content-bound tests.	Merging section and invariant branches would make discriminator-specific precedence implicit.	pending owner	proposed
RUFF-SUP-019	backstitch/artifact_contracts.py::_load_packets_text	C901	C901=1	1	17	P3	T9 P3 proof closure	permanent	One loader owns line framing, JSON parsing, schema discrimination, legacy normalization, and row-context errors.	Full load, normalization, and malformed matrix in tests/test_artifact_contracts.py.	Separate loaders could classify the same row differently.	pending owner	proposed
RUFF-SUP-020	backstitch/artifact_contracts.py::_packet_v3_declared_error	C901	C901=1	1	12	P3	T9 P3 proof closure	permanent	One relational shape check owns declared-region containment, relation lists, locators, and canonical order.	v3 source-aligned, nested declaration, and malformed packet tests.	Separating containment from relation ordering could admit internally inconsistent packets.	pending owner	proposed
RUFF-SUP-021	backstitch/artifact_contracts.py::_packet_v3_header_error	C901	C901=1	1	11	P3	T9 P3 proof closure	permanent	One v3 header audit owns identity, locator, span, hashes, and closed header vocabulary.	v3 producer and loader round trips through analysis packet and artifact contract suites.	One helper per field would add indirection without a new owner.	pending owner	proposed
RUFF-SUP-022	backstitch/artifact_contracts.py::_packet_v3_summary_error	C901	C901=1	1	12	P3	T9 P3 proof closure	permanent	One summary validator owns counts and cross-field total consistency.	Packet compilation, load, and summary-disagreement tests.	Generic count validation would lose packet-kind semantics.	pending owner	proposed
RUFF-SUP-023	backstitch/artifact_contracts.py::_packet_v4_shape_error	C901	C901=1	1	26	P3	T9 P3 proof closure	permanent	One schema-4 audit owns suppression versus source discriminator rules, relations, issue order, hashes, spans, and identity.	Schema-4 suppression, hash sensitivity, issue order, malformed packet, and load tests.	Handler maps or reflection would obscure the closed discriminator contract.	pending owner	proposed
RUFF-SUP-024	backstitch/artifact_contracts.py::_section_packet_shape_error	C901	C901=1	1	16	P3	T9 P3 proof closure	permanent	One explicit legacy section-packet shape preserves discriminator-specific fields and error order.	Legacy normalization and malformed section packet cases in tests/test_artifact_contracts.py.	Reflection or a generic packet validator would hide the compatibility table.	pending owner	proposed
RUFF-SUP-025	backstitch/artifact_contracts.py::_v2_invariant_packet_shape_error	C901	C901=1	1	33	P3	T9 P3 proof closure	permanent	One v2 invariant migration contract owns declaration, span, content, hash, and semantic issue validation.	v2 invariant bounds, declaration-before-marker, multiline declaration, and malformed invariant tests.	Shared v2 machinery is rejected unless it preserves every discriminator-specific first error.	pending owner	proposed
RUFF-SUP-026	backstitch/artifact_contracts.py::_v2_section_packet_shape_error	C901	C901=1	1	25	P3	T9 P3 proof closure	permanent	One v2 section migration contract owns snippets, source bounds, semantic issues, and packet-hash recomputation.	v2 acceptance, producer-bound, and multiline-declaration tests in tests/test_artifact_contracts.py.	Field-loop abstraction would hide section-only constraints.	pending owner	proposed
RUFF-SUP-027	backstitch/cli.py::_cmd_analyze	C901	C901=1	1	22	P2	T8 alignment, CLI, evidence, and coverage	temporary	Extract typed semantic request and factory construction plus outcome rendering while lazy imports and command-level exit ownership remain local.	Analyze mode, preflight, import quarantine, failure stages, readiness, formats, and exits across CLI and semantic application suites.	Stop if deterministic commands import provider code or failure-stage precedence changes.	pending owner	proposed
RUFF-SUP-028	backstitch/cli.py::_cmd_eval	C901	C901=1	1	17	P2	T8 alignment, CLI, evidence, and coverage	temporary	Separate path and config overlap validation from adapter and request construction while retaining lazy imports and one eval error owner.	Eval config, overlap, provider, and qualification tests across CLI, semantic eval, and phase-C suites.	Stop on path safety, selected config identity, or verification-adapter drift.	pending owner	proposed
RUFF-SUP-029	backstitch/cli.py::_cmd_packets	C901	C901=1	1	11	P3	T9 P3 proof closure	permanent	One CLI adapter owns path conflict validation and closed blocked, failure, publication, and success rendering.	Packet exit, debt, path collision, budget, publication, and clean-corpus tests.	Generic outcome rendering could change public messages or exits.	pending owner	proposed
RUFF-SUP-030	backstitch/cli.py::_dedicated_cli_overrides	C901	C901=1	1	15	P3	T9 P3 proof closure	permanent	One explicit command-to-config-key allowlist preserves CLI override scope.	CLI and settings no-op prevention and command-scoping tests.	Reflection over argparse fields or broad pass-through would widen configuration authority.	pending owner	proposed
RUFF-SUP-031	backstitch/cli.py::main	C901	C901=1	1	18	P2	T8 alignment, CLI, evidence, and coverage	temporary	Extract explicit-command execution from default-command selection while one outer parser and traceback-containment boundary remains.	Default invocation, explicit precedence, resolution-once, no-command, bad config, and no-traceback tests in tests/test_cli.py.	Stop if parse count, exit-2 semantics, or exception precedence changes.	pending owner	proposed
RUFF-SUP-032	backstitch/code_parser.py::_StaticSyntaxCollector.visit_reference	C901	C901=1	1	17	P3	T9 P3 proof closure	permanent	One tree-sitter node dispatcher preserves definitions, bindings, patterns, calls, attributes, and fallback traversal order.	Static syntax, branch binding, PEP 695, scope, comprehension, and parser-ownership tests.	Visitor registries or runtime-AST fallback would hide or duplicate parser semantics.	pending owner	proposed
RUFF-SUP-033	backstitch/code_parser.py::_statement_spans	C901	C901=1	1	15	P3	T9 P3 proof closure	permanent	One recursive walk owns statement and block traversal plus special case and elif spans.	Statement-body, elif and match, and noqa attachment tests in tests/test_code_parser.py and tests/test_python_refs.py.	Parallel span derivation or generic tree walking would break parser-owned coordinates.	pending owner	proposed
RUFF-SUP-034	backstitch/coverage_application.py::_classification_issues	C901	C901=1	1	25	P2	T8 alignment, CLI, evidence, and coverage	temporary	Extract owner-local emitters for definition, unscannable, exemption, requirement, floor, and drift families while policy application and order remain shared.	Every real diagnostic producer, repository and patch context, floors, drift, exemptions, and CLI parity tests.	Stop if any enumerable code loses a firing test or context and severity changes.	pending owner	proposed
RUFF-SUP-035	backstitch/diagnostics.py::parse_registry	C901	C901=1	1	15	P3	T9 P3 proof closure	permanent	One registry parser owns row validation, short-code uniqueness, replacement existence, and cycle proof.	Registry uniqueness, family, status, replacement, cycle, and canonicalization tests in tests/test_diagnostics.py.	Schema libraries or post-construction repair would obscure fail-closed registry authority.	pending owner	proposed
RUFF-SUP-036	backstitch/doctor.py::_check_endpoint	C901	C901=1	1	12	P3	T9 P3 proof closure	permanent	One endpoint decision table owns URL sanitation, redirects, HTTP states, bounds, payload parsing, and model membership.	Status, redirect, oversized, truncated, slow, credential, malformed payload, membership, and connection tests in tests/test_doctor.py.	Generic HTTP clients or response helpers could follow redirects or leak credentials.	pending owner	proposed
RUFF-SUP-037	backstitch/evidence_discovery.py::_ReferenceResolver.build_symbol_tables	C901	C901=1	1	11	P3	T9 P3 proof closure	permanent	One mutable resolver owner builds module, plausible-name, definition, scope, and function-scope indexes in order.	Module-root, ambiguity, lexical scope, ordinals, PEP 695, and source-order tests in tests/test_evidence_discovery.py.	Helpers that partially mutate resolver tables would split initialization ownership.	pending owner	proposed
RUFF-SUP-038	backstitch/evidence_discovery.py::_closure	C901	C901=1	1	20	P3	T9 P3 proof closure	permanent	One graph-search state machine owns seeds, budget charges, lexical cap, bridges, ambiguity expansion, depth frontier, and ceiling.	Budget-unit, collapsed-bridge, ambiguity, frontier, depth, and candidate-ceiling tests.	Generic graph libraries or split queues would change charging and selection order.	pending owner	proposed
RUFF-SUP-039	backstitch/evidence_discovery.py::_project_declared_relations	C901	C901=1	1	13	P3	T9 P3 proof closure	permanent	One pass owns issue, conflict, section, invariant, reciprocal flags, and candidate relation rows.	Section and invariant reciprocal, conflict, module invariant, frontier, and projection tests.	Independent relation and trace-flag passes could disagree.	pending owner	proposed
RUFF-SUP-040	backstitch/evidence_summary.py::_invariant_items	C901	C901=1	1	13	P2	T8 alignment, CLI, evidence, and coverage	temporary	Extract code-owned and spec-owned invariant row projection while target and binding association state remains local.	Spec and code invariant, unresolved target, test evidence, NFC collision, duplicate owner, and module-receipt tests.	Reclassify P3 if helpers need shared mutable association cursors.	pending owner	proposed
RUFF-SUP-041	backstitch/evidence_summary.py::_section_items	C901	C901=1	1	19	P2	T8 alignment, CLI, evidence, and coverage	temporary	Extract typed mapping, backlink, and evidence row projectors while declaration consumption, association, deduplication, and order stay together.	Complete, non-atomic, duplicate same-line, merged backlink, directory mapping, and exact-receipt tests.	Stop if declaration ordinals or duplicate consumption order changes.	pending owner	proposed
RUFF-SUP-042	backstitch/exclusions.py::parse_traceability_directive_line	C901	C901=1	1	18	P3	T9 P3 proof closure	permanent	One parser owns reserved-skip exclusion, underscore and HTML grammar, declaration delimiters, mechanisms, references, strict unknowns, and malformed affordances.	Inline, meta, declaration, unknown, reserved, and malformed cases in exclusions and Markdown suites.	Regex decomposition could change precedence or accept near misses.	pending owner	proposed
RUFF-SUP-043	backstitch/exclusions.py::suppression_decision	C901	C901=1	1	14	P3	T9 P3 proof closure	permanent	One canonical ordered path owns rule scopes, meta semantics, usage accounting, unsuppressible diagnostics, and declaration lookup.	Meta, inline-over-config, section, context severity, unsuppressible, unused, and short-code tests.	Separate match and audit passes could disagree about the effective suppression.	pending owner	proposed
RUFF-SUP-044	backstitch/git_baseline.py::_GitRunner._communicate_bounded	C901	C901=1	1	16	P3	T9 P3 proof closure	permanent	One bounded subprocess protocol owns stdin, output threads, deadline, aggregate charging, close and join, and primary failure.	Unsafe-ref, output-budget, byte-budget, large-batch, and timeout-history tests in tests/test_git_baseline.py.	Generic subprocess wrappers or unbounded communicate would weaken resource limits.	pending owner	proposed
RUFF-SUP-045	backstitch/git_baseline.py::_read_transition_changes	C901	C901=1	1	15	P3	T9 P3 proof closure	permanent	One Git record parser owns framing, path arity, renames, OIDs, canonical paths, blob batching, and deterministic transitions.	Multiple-path, merge-base, 200-transition, unsafe-path, and blob-dedup tests.	Line parsing or per-record Git calls would break framing and scale.	pending owner	proposed
RUFF-SUP-046	backstitch/intent_coverage.py::_classify_definitions	C901	C901=1	1	15	P3	T9 P3 proof closure	permanent	One classifier owns mapping, backlink, whole-file inheritance, smallest owner, invariant declarations, binds, and precedence.	Direct, inherited, module, backlink, invariant, binding, exemption, and ambiguity tests in tests/test_intent_coverage.py.	Separate edge classifiers could apply different ownership ambiguity rules.	pending owner	proposed
RUFF-SUP-047	backstitch/intent_history.py::build_intent_revision_state	C901	C901=1	1	22	P2	T8 alignment, CLI, evidence, and coverage	temporary	Extract typed definition, section hash, connected-test, and drift projection phases while one captured snapshot and report remain authoritative.	Real graph reuse, exact hashes, implementation-only drift, stale history, and scale tests in intent history and Git baseline suites.	Stop if any helper reopens files or rescans independently.	pending owner	proposed
RUFF-SUP-048	backstitch/markdown_specs.py::_TraceabilityReducer.process_reserved_skip_lines	C901	C901=1	1	11	P3	T9 P3 proof closure	permanent	One reducer transition owns reserved-skip block parsing, ordinary-marker coexistence, interleave invalidation, and state mutation.	Skip order, duplicate, interleave, malformed, and marker coexistence tests.	Preprocessing outside the token reducer would split parser state.	pending owner	proposed
RUFF-SUP-049	backstitch/markdown_specs.py::_resolve_skip_candidates	C901	C901=1	1	13	P3	T9 P3 proof closure	permanent	One complete-file resolver owns duplicate invalidation, section and invariant ownership, unused versus invalid classification, and order.	Standalone and inline skip, duplicate, ownership, unknown target, reason, interleave, and coexistence tests.	Eager resolution during token parsing would act on an incomplete file.	pending owner	proposed
RUFF-SUP-050	backstitch/markdown_specs.py::project_section_packet_requirement	C901	C901=1	1	11	P3	T9 P3 proof closure	permanent	One requirement projector owns exact line masking for mappings, traceability markers, skips, HTML directives, and preserved layout.	Wrapped requirement, directive masking, invariant skip, mapping span, and CommonMark tests.	A second Markdown parser would duplicate the structure boundary.	pending owner	proposed
RUFF-SUP-051	backstitch/obligation_api.py::problem_envelope	C901	C901=1	1	13	P3	T9 P3 proof closure	permanent	One public problem audit owns the closed code-to-detail-shape contract and canonical envelope validation.	Every closed detail shape, deadline phase, malformed shape, and not-found tests in tests/test_obligation_api.py.	Generic object validation or open detail dictionaries would weaken enumerable API proof.	pending owner	proposed
RUFF-SUP-052	backstitch/obligation_api.py::render_envelope_text	C901	C901=1	1	20	P3	T9 P3 proof closure	permanent	One text adapter owns explicit operation, result, problem, null, success, and error rendering.	List, get, evidence, candidate pagination, and exact adapter-budget tests.	Reflection or parsing values back from presentation text would make wording load-bearing.	pending owner	proposed
RUFF-SUP-053	backstitch/obligation_runtime.py::_declared_mapping_targets	C901	C901=1	1	14	P3	T9 P3 proof closure	permanent	One additional-path derivation boundary owns snapshot roots, captured Markdown, canonical collisions, ownership, and bare-symbol advisory handling.	Target convergence, missing targets, config identity, symlink replacement, and collision tests in tests/test_obligation_runtime.py.	Source reopening or treating bare symbols as paths would violate snapshot authority.	pending owner	proposed
RUFF-SUP-054	backstitch/obligations.py::_section_record	C901	C901=1	1	12	P3	T9 P3 proof closure	permanent	One section state transition owns evidence completeness, conflict precedence, blockers, guidance, rung, skip, gate state, and counts.	Reciprocal and one-sided relations, role independence, test roots, rungs, skip, conflict, and candidate-count tests.	Separate blocker and guidance passes could disagree about the same state.	pending owner	proposed
RUFF-SUP-055	backstitch/obligations.py::build_obligation_inventory	C901	C901=1	1	16	P2	T8 alignment, CLI, evidence, and coverage	temporary	Extract owner-local input and index validation plus suppression-record projection while ID closure, iteration, order, and aggregate actions remain shared.	Empty bootstrap, duplicate, unaddressable, section, invariant, suppression, skip, count, and summary tests.	Stop if an obligation kind is sorted or validated through a separate path.	pending owner	proposed
RUFF-SUP-056	backstitch/packet_application.py::publish_packets	C901	C901=1	1	12	P3	T9 P3 proof closure	permanent	One application lifecycle owns runtime, deterministic blocking, packet plan, report, progress completion, atomic publication, and failure precedence.	CLI parity, deadline-no-publication, progress isolation, partial publication, and deterministic-block tests.	Moving publication before accounting or using parallel writes would break artifact-set authority.	pending owner	proposed
RUFF-SUP-057	backstitch/python_refs.py::_extract_line_refs	C901	C901=1	1	14	P3	T9 P3 proof closure	permanent	One line parser owns precedence among file-qualified refs, adjacent groups, ranges, bare IDs, and consumed spans.	File-qualified, compact, comma, cross-bracket, dash, anchor, prose-noqa, and noise tests.	Independent regex passes without shared consumption state could double-project references.	pending owner	proposed
RUFF-SUP-058	backstitch/python_refs.py::_project_python_doc_markers	C901	C901=1	1	12	P3	T9 P3 proof closure	permanent	One physical-line pass owns interpolation and escape rejection, bindings, declaration continuations, consumed lines, and invariant construction.	Physical marker, malformed, concatenated, interpolated, escaped, continuation, binding, and owner tests.	Evaluated-string parsing or a parallel marker parser would lose source coordinates.	pending owner	proposed
RUFF-SUP-059	backstitch/repository_snapshot.py::_bounded_read_attempt	C901	C901=1	1	12	P3	T9 P3 proof closure	permanent	One stable-read attempt owns expected lstat, no-follow open, fstat identity, bounded chunks, deadline, and close.	Stable bounded failure, per-read deadline, symlink, nonregular, and boundary-pin tests.	Ordinary Path.read_bytes or detached checks would weaken no-follow identity.	pending owner	proposed
RUFF-SUP-060	backstitch/repository_snapshot.py::_capture_attempt	C901	C901=1	1	11	P3	T9 P3 proof closure	permanent	One torn-read transaction owns initial inventory, ordered reads, mutation hooks, hashes, and whole-attempt discard.	Torn retry and exhaustion, membership, inode, catalog mutation, and deadline tests.	Retaining partial bytes across attempts would mix repository moments.	pending owner	proposed
RUFF-SUP-061	backstitch/repository_snapshot.py::_inventory	C901	C901=1	1	22	P3	T9 P3 proof closure	permanent	One attempt inventory owns normalized targets, source and catalog roles, direct files, directories, missing targets, collisions, and identity.	Additional and missing targets, catalog mutation, collision, unsafe components, budget, and identity tests.	Separate code, spec, and additional inventories could disagree about one repository view.	pending owner	proposed
RUFF-SUP-062	backstitch/repository_snapshot.py::_inventory_open_directory	C901	C901=1	1	18	P3	T9 P3 proof closure	permanent	One descriptor-relative directory lease owns recursion, exclusions, names, catalog and source classification, no-follow opens, and nonregular rejection.	Catalog, exclusion, symlink, Unicode, collision, mutation, and canonical-owner tests in tests/test_repository_snapshot.py.	Path-based reopening or recursion outside the descriptor would create TOCTOU risk.	pending owner	proposed
RUFF-SUP-063	backstitch/repository_snapshot.py::capture_repository_snapshot	C901	C901=1	1	14	P3	T9 P3 proof closure	permanent	One public capture owner preserves platform and root validation, config sources, path convergence, retry, catalog hash, and final identity.	Full repository snapshot suite plus no-reopen and shared-projection snapshot resolver tests.	Separate semantic and config snapshots or fallback readers would violate one-view capture.	pending owner	proposed
RUFF-SUP-064	backstitch/resolver.py::_project_scan_artifacts	C901	C901=1	1	19	P3	T9 P3 proof closure	permanent	One projection phase owns report parts, suppression diagnostics and decisions, issue order, parsed artifacts, and immutable output.	Snapshot and check shared projection, suppressions, parser diagnostics, and CLI format consistency tests.	Independent report and artifact passes could diverge.	pending owner	proposed
RUFF-SUP-065	backstitch/resolver.py::_reciprocal_and_inventory_issues	C901	C901=1	1	13	P3	T9 P3 proof closure	permanent	One completed-edge audit owns mapping and backlink reciprocity, path and symbol coverage, duplicate accounting, and inventory diagnostics.	One-sided mapping and backlink, directory mapping, test-only mapping, and reciprocal tests.	Emitting reciprocity during partial resolution would report transient graph state.	pending owner	proposed
RUFF-SUP-066	backstitch/resolver.py::_resolve_code_refs	C901	C901=1	1	13	P3	T9 P3 proof closure	permanent	One code-reference phase owns qualified, bare, and range dispatch, prefix filtering, rung classification, deduplication, and backlinks.	Bare, qualified, range, rung, reciprocal, and snapshot resolver tests.	A second parser or separate bare-reference engine would duplicate resolution policy.	pending owner	proposed
RUFF-SUP-067	backstitch/resolver.py::_resolve_file_qualified_ref	C901	C901=1	1	12	P3	T9 P3 proof closure	permanent	One qualified-reference boundary owns containment, existence, classification, section and range expansion, issues, and backlinks.	Missing spec and section, range, outside-root, rung, and reciprocal tests.	Resolving sections without file policy context could accept invalid targets.	pending owner	proposed
RUFF-SUP-068	backstitch/resolver.py::_resolve_invariants	C901	C901=1	1	13	P3	T9 P3 proof closure	permanent	One invariant phase owns declaration ownership, target and bind resolution, ambiguity, containment, edges, and issues.	Code and spec invariant, binding, missing and ambiguous target, duplicate, and outside-root tests.	Separate code and spec invariant engines could apply different identity rules.	pending owner	proposed
RUFF-SUP-069	backstitch/resolver.py::_resolve_mappings	C901	C901=1	1	11	P3	T9 P3 proof closure	permanent	One resolver phase owns mapping normalization, ladder resolution, ambiguity, missing severity, edges, and diagnostics.	Mapping, ambiguity, missing target, rung, and reciprocal tests in resolver and snapshot resolver suites.	Separate path and symbol lookup paths could diverge.	pending owner	proposed
RUFF-SUP-070	backstitch/resolver.py::scan_snapshot_with_artifacts	C901	C901=1	1	14	P3	T9 P3 proof closure	permanent	One captured-byte scan path owns roots, Markdown and Python parsing, module identities, path facts, resolution phases, and final projection.	Shared projection, no-reopen, external target, missing and unreadable row, and CLI check tests.	Any source reopening or parallel scan API would violate snapshot authority.	pending owner	proposed
RUFF-SUP-071	backstitch/semantic_analysis.py::_execute_cache	C901	C901=1	1	12	P2	T6 cache and semantic execution	temporary	Shared adapter construction and call budget remain one owner while parallel runs fold in packet order.	tests/test_semantic_analysis.py concurrency/order and operational-count cases	Generic executor or a second adapter-construction owner	pending owner	proposed
RUFF-SUP-072	backstitch/semantic_analysis.py::_execute_evidence_stable_preparation	C901	C901=1	1	22	P1	T6 cache and semantic execution	temporary	One evidence-stable execution owner preserves adapter construction, call budget, counters, locks, lease lifetime, and ordered outcomes.	tests/test_semantic_analysis.py mixed carry/live and foreign-winner cases; tests/test_semantic_cache.py failure/deadline cases	Helpers that shuttle live lease and counter state or split cache selection from lease lifetime	pending owner	proposed
RUFF-SUP-073	backstitch/semantic_analysis.py::_execute_evidence_stable_preparation.resolve_item	C901	C901=1	1	12	P1	T6 cache and semantic execution	temporary	Packet-local resolution retains exact provider/cache failure mapping under the outer evidence-stable lifecycle owner.	tests/test_semantic_analysis.py evidence-stable concurrency, mixed carry/live, foreign-winner, deadline, and failure-containment cases	A stateless callback that obscures budget release, adapter ownership, or packet-local containment	pending owner	proposed
RUFF-SUP-074	backstitch/semantic_analysis.py::_packet_report_preflight	C901	C901=1	1	16	P2	T6 cache and semantic execution	temporary	Packet-report identity errors precede completeness and budget findings; accumulated problem order stays stable.	tests/test_semantic_analysis.py required-report, zero-packet, budget, and complete-run cases	Moving report validation behind capacity checks or creating a generic preflight framework	pending owner	proposed
RUFF-SUP-075	backstitch/semantic_analysis.py::_resolve_independent_qualification	C901	C901=1	1	14	P1	T6 cache and semantic execution	temporary	Qualification authority fails closed in missing, corrupt, identity-mismatch, then failed order using authoritative corpus/report facts.	tests/test_semantic_analysis.py qualification cases; tests/test_semantic_eval_reports_v3.py authoritative report tests	A second qualification parser or helpers that reorder failure precedence	pending owner	proposed
RUFF-SUP-076	backstitch/semantic_analysis.py::_resolve_request_bytes	C901	C901=1	1	13	P3	retained at activation	permanent	One prepared-plan byte-integrity validator preserves packet order, contribution equality, prompt prefix, digest, and aggregate measurements.	tests/test_semantic_analysis.py retained-request-byte, misaligned-plan, and prompt-mutation cases	Field-by-field helpers or a second request-byte validation path	pending owner	proposed
